"league_id","season","stage","timeline_id","match_api_id","home_team_api_id","home_team_short_name","away_team_api_id","away_team_short_name","home_team_goal","away_team_goal","home_win","home_loss","home_draw","away_win","away_loss","away_draw","home_goal_diff_0","away_goal_diff_0","home_goal_diff_1","away_goal_diff_1","home_goal_diff_2","away_goal_diff_2","home_goal_diff_3","away_goal_diff_3","home_goal_diff_5","away_goal_diff_5","home_goal_diff_10","away_goal_diff_10","home_goal_diff_total","away_goal_diff_total"
1729,"2008/2009",8,8,489119,8559,"BOL",8655,"BLB",0,0,0,0,1,0,0,1,0,0,-2,1,-2,-2,0,-1,0,-1,0,-1,0,-1
1729,"2008/2009",8,8,489120,8667,"HUL",8654,"WHU",1,0,1,0,0,0,1,0,1,-1,0,1,-5,0,-4,-3,-4,-3,-4,-3,-4,-3
1729,"2008/2009",8,8,489121,10194,"STK",8586,"TOT",2,1,1,0,0,0,1,0,1,-1,-2,-2,-3,-2,-2,-3,-2,-3,-2,-3,-2,-3
1729,"2008/2009",9,9,489122,8472,"SUN",10261,"NEW",2,1,1,0,0,0,1,0,1,-1,0,0,2,-2,-1,-5,-2,-5,-2,-5,-2,-5
1729,"2008/2009",9,9,489123,8586,"TOT",8559,"BOL",2,0,1,0,0,0,1,0,2,-2,-1,2,-1,0,-2,-1,-3,-2,-3,-2,-3,-2
1729,"2008/2009",9,9,489124,8654,"WHU",9825,"ARS",0,2,0,1,0,1,0,0,-2,2,-2,0,0,2,3,6,4,5,4,5,4,5
1729,"2008/2009",9,9,489125,8668,"EVE",10260,"MUN",1,1,0,0,1,0,0,1,0,0,0,2,-2,2,-5,1,-6,2,-6,2,-6,2
1729,"2008/2009",9,9,489126,8456,"MCI",10194,"STK",3,0,1,0,0,0,1,0,3,-3,-1,-1,5,-1,3,-2,6,-4,6,-4,6,-4
1729,"2008/2009",9,9,489127,8655,"BLB",8549,"MID",1,1,0,0,1,0,0,1,0,0,-2,1,-1,-1,-5,-2,-5,-3,-5,-3,-5,-3
1729,"2008/2009",9,9,489128,8659,"WBA",8667,"HUL",0,3,0,1,0,1,0,0,-3,3,1,1,0,2,1,3,0,3,0,3,0,3
1729,"2008/2009",9,9,489129,8462,"POR",9879,"FUL",1,1,0,0,1,0,0,1,0,0,1,-1,3,-2,4,-5,3,-6,3,-6,3,-6
1729,"2008/2009",9,9,489130,8528,"WIG",10252,"AVL",0,4,0,1,0,1,0,0,-4,4,-1,-2,0,-1,0,0,-1,-1,-1,-1,-1,-1
1729,"2008/2009",9,9,489131,8455,"CHE",8650,"LIV",0,1,0,1,0,1,0,0,-1,1,2,1,2,3,2,3,6,4,6,4,6,4
1729,"2008/2009",10,10,489132,10260,"MUN",8654,"WHU",2,0,1,0,0,0,1,0,2,-2,4,-1,6,0,9,-1,9,-4,9,-4,9,-4
1729,"2008/2009",10,10,489133,9825,"ARS",8586,"TOT",4,4,0,0,1,0,0,1,0,0,2,-1,1,-3,4,-3,5,-4,5,-4,5,-4
1729,"2008/2009",10,10,489134,8549,"MID",8456,"MCI",2,0,1,0,0,0,1,0,2,-2,-5,0,-6,-1,-5,2,-4,0,-4,0,-4,0
1729,"2008/2009",10,10,489135,8559,"BOL",8668,"EVE",0,1,0,1,0,1,0,0,-1,1,0,-2,-2,-2,-2,-1,0,0,0,0,0,0
1729,"2008/2009",10,10,489136,8667,"HUL",8455,"CHE",0,3,0,1,0,1,0,0,-3,3,1,5,1,7,-4,9,-3,10,-3,10,-3,10
1729,"2008/2009",10,10,489137,10194,"STK",8472,"SUN",1,0,1,0,0,0,1,0,1,-1,1,0,-1,-1,-2,-1,-1,0,-1,0,-1,0
1729,"2008/2009",10,10,489138,8650,"LIV",8462,"POR",1,0,1,0,0,0,1,0,1,-1,1,0,1,-6,2,-3,3,-7,3,-7,3,-7
1729,"2008/2009",10,10,489139,10252,"AVL",8655,"BLB",3,2,1,0,0,0,1,0,1,-1,0,0,1,1,1,-2,3,-1,3,-1,3,-1
1729,"2008/2009",10,10,489140,10261,"NEW",8659,"WBA",2,1,1,0,0,0,1,0,1,-1,0,-4,-1,-3,-2,-3,-1,-4,-1,-4,-1,-4
1729,"2008/2009",10,10,489141,9879,"FUL",8528,"WIG",2,0,1,0,0,0,1,0,2,-2,0,-1,-1,-1,0,4,1,3,1,3,1,3
