"country_id","season","stage","match_api_id","home_team_api_id","away_team_api_id","Goal_Diff_Home_10.Games","Goal_Diff_away_10.Games","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","PSH","PSD","PSA","WHH","WHD","WHA","SJH","SJD","SJA","VCH","VCD","VCA","GBH","GBD","GBA","BSH","BSD","BSA","buildUpPlaySpeed_home","buildUpPlaySpeedClass_home","buildUpPlayDribblingClass_home","buildUpPlayPassing_home","buildUpPlayPassingClass_home","buildUpPlayPositioningClass_home","chanceCreationPassing_home","chanceCreationPassingClass_home","chanceCreationCrossing_home","chanceCreationCrossingClass_home","chanceCreationShooting_home","chanceCreationShootingClass_home","chanceCreationPositioningClass_home","defencePressure_home","defencePressureClass_home","defenceAggression_home","defenceAggressionClass_home","defenceTeamWidth_home","defenceTeamWidthClass_home","defenceDefenderLineClass_home","buildUpPlaySpeed1_away","buildUpPlaySpeedClass1_away","buildUpPlayDribblingClass1_away","buildUpPlayPassing1_away","buildUpPlayPassingClass1_away","buildUpPlayPositioningClass1_away","chanceCreationPassing1_away","chanceCreationPassingClass1_away","chanceCreationCrossing1_away","chanceCreationCrossingClass1_away","chanceCreationShooting1_away","chanceCreationShootingClass1_away","chanceCreationPositioningClass1_away","defencePressure1_away","defencePressureClass1_away","defenceAggression1_away","defenceAggressionClass1_away","defenceTeamWidth1_away","defenceTeamWidthClass1_away","defenceDefenderLineClass1_away","outcome"
1729,"2012/2013",12,1229224,10172,8466,-7,-13,42,41,4,1.87,3.5,4,1.9,3.45,3.8,1.91,3.4,4,1.98,3.71,4.04,1.95,3.4,4,1.91,3.6,4,1.95,3.6,4.1,1.87,3.5,4,1.91,3.6,3.75,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","2"
1729,"2012/2013",15,1229253,8650,8466,10,-11,23,52,8.5,1.4,4.5,7.5,1.4,4.4,7.3,1.44,4.33,7,1.43,4.99,8.48,1.44,4,8,1.4,4.8,7.5,1.44,4.75,8.5,1.4,4.5,7.5,1.4,4.5,7.5,50,"Balanced","Little",35,"Mixed","Organised",50,"Normal",60,"Normal",70,"Lots","Organised",40,"Medium",60,"Press",40,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",19,1229299,9879,8466,10,-12,40,41,4.2,1.83,3.75,4,1.85,3.45,4,1.8,3.6,4.33,1.93,3.7,4.34,1.85,3.3,4.5,1.9,3.8,4,1.9,3.7,4.4,1.83,3.75,4,1.8,3.6,4.33,60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",40,"Medium",35,"Press",40,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","3"
1729,"2012/2013",20,1229315,10194,8466,6,-12,38,40,4.75,1.75,3.4,5,1.8,3.5,4.2,1.8,3.4,4.5,1.85,3.64,4.9,1.85,3.1,5,1.85,3.1,5,1.87,3.6,4.8,1.75,3.4,5,1.73,3.5,4.75,65,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","3"
1729,"2012/2013",22,1229330,10252,8466,-10,-12,64,40,2.9,2.45,3.25,2.85,2.3,3.3,2.9,2.4,3.3,2.88,2.49,3.46,3.03,2.62,3.1,2.8,2.4,3.4,2.88,2.55,3.3,3,2.45,3.25,2.85,2.5,3.25,2.8,70,"Fast","Little",59,"Mixed","Organised",65,"Normal",70,"Lots",50,"Normal","Free Form",30,"Deep",70,"Double",30,"Narrow","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","2"
1729,"2012/2013",17,1229273,8455,8466,16,-10,17,63,15,1.23,6.25,11,1.25,5.5,10.3,1.25,6,10,1.25,6.76,14.45,1.25,5.5,12,1.25,5.8,12,1.25,6.25,15,1.23,6.25,11,1.22,6,13,70,"Fast","Little",60,"Mixed","Free Form",56,"Normal",70,"Lots",70,"Lots","Free Form",30,"Deep",60,"Press",35,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","3"
1729,"2012/2013",24,1229352,10260,8466,29,-5,17,63,14,1.2,7,11.5,1.15,7,15,1.2,6.5,12,1.25,7.02,13.41,1.25,6,11,1.2,7,15,1.22,7,13,1.2,7,11.5,1.22,6.5,11,70,"Fast","Little",45,"Mixed","Organised",45,"Normal",70,"Lots",65,"Normal","Free Form",40,"Medium",50,"Press",40,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",25,1229372,8528,8466,4,-4,56,40,3.5,2.15,3.4,3.3,2,3.3,3.6,2.1,3.3,3.5,2.24,3.53,3.44,2.25,3.1,3.4,2.05,3.5,3.6,2.25,3.4,3.5,2.15,3.4,3.3,2.1,3.4,3.4,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","3"
1729,"2012/2013",27,1229389,10261,8466,13,-1,56,40,3.2,2,3.5,3.6,2,3.3,3.6,2,3.4,3.75,2.18,3.59,3.54,2.2,3.1,3.5,2.1,3.5,3.5,2.2,3.5,3.4,2,3.5,3.6,2,3.4,3.75,70,"Fast","Little",60,"Mixed","Organised",65,"Normal",70,"Lots",60,"Normal","Organised",45,"Medium",65,"Press",45,"Normal","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","1"
1729,"2012/2013",29,1229413,9850,8466,-4,-1,63,39,3,2.4,3.2,3,2.2,3.3,3.1,2.25,3.4,3.1,2.55,3.43,2.96,2.5,3.1,2.9,2.4,3.4,3,2.55,3.4,2.9,2.4,3.2,3,2.38,3.25,3,65,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",60,"Medium",70,"Double",70,"Wide","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","3"
1729,"2012/2013",32,1229446,9798,8466,-2,-3,81,41,2.25,3.3,3.4,2.15,3.1,3.3,2.2,3,3.5,2.25,3.44,3.61,2.21,3.3,3.2,2.25,3.2,3.5,2.25,3.2,3.6,2.3,3.3,3.4,2.15,3,3.5,2.25,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",60,"Press",70,"Wide","Cover",70,"Fast","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover","2"
